name,rank,category,description,no_items (thousands),no_owners (thousands),volume_traded (ethereum),floor_price (ethereum),year_first_sale,avg_price,twitter_followers,algorithm,artist_curation/collaboration,featured_auction
SuperRare,11,art,"SuperRare makes it easy to create, sell, and collect rare digital art. SuperRare's smart contract platform allows artists to release limited-edition digital artwork tracked on the blockchain, making the pieces rare, verified, and collectible. Filter the crypto art world's best selling works by artist name, creation type, and year of birth on OpenSea.",27,5.1,51.1,0.22,2019,2.7165,177.7,0,1,0
Sorare,12,trading cards,"Sorare is a fantasy football game where managers can trade official digital collectibles. The platform is growing fast, with a global audience collecting, buying, and selling their favorite players in the form of blockchain-backed NFTs. The Sorare team has secured the rights to European giants like Atletico Madrid, Juventus, and Bayern Munich, as well as the MLS, Korean League, and Japanese League.",329.4,20.4,50.2,0.02,2019,0.1148,60.7,0,0,0
Cool Cats NFT,13,collectibles,"Cool Cats is a collection of 9,999 randomly generated and stylistically curated NFTs that exist on the Ethereum Blockchain. Cool Cat holders can participate in exclusive events such as NFT claims, raffles, community giveaways, and more. Remember, all cats are cool, but some are cooler than others.",9.9,4.8,47.8,9.7,2021,2.2295,49.9,1,0,0
Art Blocks Factory,14,art,"Art Blocks Factory allows artists who do not wish to wait for approval by the Curation Board a place to launch their generative art. While requirements are somewhat relaxed compared to Curated drops, the releases in Factory will reflect the innovation, creativity, and artistic beauty associated with the Art Blocks community.",63.5,16.4,45.9,0.088,2021,0.9306,91.2,0,1,0
0N1 Force,15,collectibles,"The 0N1 Force are 7,777 generative side-profile characters with over 100 hand-drawn features fighting for their existence. Strength, spirit, and style are what you’ll need to survive in The Ethereal Enclave. In addition to the high-resolution artwork, each 0N1 NFT grants access to benefits found on the 0N1force website and Discord--the first of which is participation in a collaborative RPG that takes players into the 0N1verse.",7.8,4.3,43,1.5,2021,2.8181,60.1,1,0,0
Parallel Alpha,16,trading cards,Sci-fi collectable card game with NFTs.,0.2,7.2,39.6,0.075,2021,0.7959,11.7,0,0,0
Pudgy Penguins,17,collectibles,"Located in the freezing cold, arctic region of the metaverse you can find 8,888 cute chubby Pudgy Penguins sliding around on the ETH blockchain.",8.9,4.8,39.4,2.145,2021,1.4696,37.1,1,0,0
Hashmasks,18,art,Become part of digital art and collectibles history.,16.4,5,39.1,1.84,2021,2.148,1.5,1,1,0
CrypToadz by GREMPLIN,19,collectibles,"CrypToadz are a collection 6969 small amphibious creatures trying to escape the tyrannical rule of the Evil King Gremplin. Created by Gremplin, with a small bit of help from his friends. This project is in the public domain. Feel free to use the toadz in any way you want.",7,3.2,37.2,8.99,2021,2.9573,21.4,0,1,0
PUNKS Comic,20,collectibles,Watch the story unfold as the 16 PUNKS Hunt for the Lost Robbies.,10,3.4,36.8,3.33,2021,3.4685,41.4,0,0,0
Bored Ape Kennel Club,21,collectibles,"It gets lonely in the swamp sometimes. That's why every ape should have a four-legged companion. To curl up at your feet. To bring you a beer. To fire a missile launcher at that bastard Jimmy the Monkey. That's why we've started the Bored Ape Kennel Club, and why we're offering up a dog NFT for adoption to every single member of the BAYC – for free (you only pay gas). Any royalties we accrue on secondary sales will be donated to charity.",9.6,4.9,34,2.75,2021,2.72,199,1,0,1
ZED RUN,22,sports,"The NFT horse racing game, Zed Run, on Matic network.",127.5,32.1,32.8,0.016,2021,0.302,53.8,1,0,0
My Curio Cards,23,trading cards,"Join the Curio Discord. Curio Cards is an online art show and permanent gallery that launched on May 9, 2017. Curio is the first Art NFT project on Ethereum, featuring 30 unique series of cards from 7 different artists. Curio Cards are referenced with CryptoPunks and CryptoKitties in the original ERC-721 Non-Fungible Token Standard, and pre-dates them both. Given the age of the project, Curio Cards need to be wrapped to work with OpenSea. Wrapping upgrades the card, placing it inside a newer contract which is OpenSea compatible. You can then buy, sell, and unwrap cards at anytime. Find out more on the Curio Docs, or use the Curio Wrapper Tool. You don't need to do anything for cards that are already wrapped. A 1% artist royalty fee on OpenSea sales was voted in by the community on 3/31/21. 100% of this royalty is split equally between the original artists.",0.03,4.3,31.6,0.6,2021,1.3782,10.1,0,1,1
The SandBox,24,virtual worlds,"The Sandbox is a community-driven platform where creators can monetize voxel assets and gaming experiences on the blockchain. The Sandbox metaverse comprises a map made up of 166,464 LANDS. LAND owners can host contests and events, stake SAND to earn and customize assets, monetize assets and experiences, vote in the metaverse governance, play games that you or others create, and more! Trade the collection and keep your eyes peeled for future drops.",101.5,21.3,29.1,0.001,2019,0.5321,218.6,0,1,0
VeeFriends,25,collectibles,A Gary Vaynerchuk NFT project around meaningful intellectual property and an extraordinary community.,10.3,5,27.7,11,2021,10.3111,70.7,0,0,1
Axie Infinity,26,collectibles,"Axies are fierce creatures that love to battle, build, and hunt for treasure! Build up a collection and use them across an ever expanding universe of games! Axie players can earn tokens such as DAI, KNC, and SLP which can be converted easily to ETH!.",283.8,45.3,27.5,,2018,0.1571,612.8,0,0,0
MyCryptoHeroes,27,virtual worlds,It's your job as a data miner to dive into the depths of the Crypto World to battle enemies and restore the heroes back to their finest form. Collect and strengthen your heroes through battles and trades to stay ahead of other miners!,64.2,3.6,27.1,0.001,2018,0.5322,8.1,0,0,0
CyberKongz,28,collectibles,"Welcome to an alternate reality, where evolution took a different route and weird apes roam the earth. Some appear normal. Some look weird. And some are just damn cool! Every CyberKong is unique and owns randomized items with different rarities. A few are super rare and even animated! Maybe some of them look familiar!",3.9,1.6,26.2,9.595,2021,8.0672,53.2,1,0,0
Creature World NFT,29,collectibles,"Welcome to The Creature World. You have arrived in a nearby magical dimension of love, divine intervention, and possibility. 10,000 unique Creatures are here to guide you on this journey. Follow their lead. Created with love by NYC-based artist Danny Cole.",10,5.7,23.2,2,2021,1.3298,32.9,1,0,0
World of Women,30,collectibles,"A collection of unique, cool and diverse Women, ready to leave a mark in the NFT space! World of Women was created with the aim of bringing more diversity and representativity into the NFT space while at the same time bridging the gap between the collectible world and the 1/1 art world. 10,000 randomly generated digital collectibles of various rarity living on the Ethereum blockchain as ERC-721 tokens and hosted on IPFS. Created and Illustrated by Yam Karkai (@ykarkai)",10,4.4,22,2.4,2021,1.3506,45.4,1,0,0
Somnium Space VR,31,virtual worlds,"Somnium Space is an open and social virtual reality world built on the Ethereum blockchain. Buy land, build or import objects, and instantly enjoy or monetize assets. Somnium space is a universe shaped entirely by its community of users. Trade and explore assets using filters like recently listed, scarcity, and size in this OpenSea store.",5.6,2.1,21.9,0.759,2019,,16.6,0,0,0
Emblem Vault [Ethereum],32,utility,"Emblem Vaults are NFT containers that can contain one or more tokens, or NFT's Projects : Rare Pepe | Spells of Genesis | Bitcorns | Ether Rocks | Etheria (0xb21f8) | Force of Will | Age of Chains *",19.2,4,21.5,0.02,2021,1.7041,3.5,0,0,0
Decentraland Wearables,33,virtual worlds,"Decentraland is an Ethereum blockchain-powered virtual world, developed and owned by its users, who can create, experience, and monetize content and applications. Wearables are worn in game by avatars, and collecting and trading these unique NFTs is a great way for users to integrate themselves into the growing community. The digital assets are dropped in limited-edition collections, and will be available to purchase right here in this store.",70.8,9.9,21,0.001,2017,,187.2,0,1,0
LOSTPOETS,34,art,∴ AB AETERNO,27.4,9,20.9,1,2021,0.8966,24.5,0,0,0
MekaVerse,35,collectibles,"The MekaVerse is a collection of 8,888 generative Mekas inspired by the Japanese Anime universe. In the distant future, drivers fight in a world divided into 4 Factions. Originals Meka, Mirage, F9, and Gadians are the Titans who rule this planet. Which Faction are you going to join? Each MekaVerse NFT holder has access to exclusive events on Discord, Twitter, and more. The Mekaverse does not stop at one planet, it extends far beyond that!",8.6,5.5,20.5,6.5,2021,5.3863,282.8,1,0,0
Bored Ape Chemistry Club,36,collectibles,"Bored Ape Chemistry Club consists of 10,000 Mutant Serums, to be airdropped to all Bored Apes. Handle with care. Instructions to follow at 6pm ET 8/28/21.",0.003,1.9,20.3,3.7,2021,9.0608,199,1,0,0
Gods Unchained,37,trading cards,"Gods Unchained is a free-to-play, turn-based competitive trading card game in which cards can be bought and sold on the OpenSea marketplace. Players use their collection to build decks of cards, and select a God to play with at the start of each match. The goal of the game is to reduce your opponent's life to zero. Each deck contains exactly 30 cards. On OpenSea, cards can be sold for a fixed price, auctioned, or sold in bundles.",7000,15.6,19.8,,2019,0.0465,48.5,0,0,0
Cryptovoxels,38,virtual worlds,"A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Cryptovoxels. Users own the land and assets, with ownership and trading history recorded permanently on the blockchain. Trade land NFTs right here on OpenSea, and keep track of the Cryptovoxels team on Twitter for news on the latest drops and developments.",5.8,1.6,19.2,1.745,2018,2.1012,53.4,0,0,0
The Doge Pound,39,collectibles,"The Doge Pound is 10,000 art pieces carefully chosen by Professor Elon. A unique digital collection of diverse NFTs lying on Ethereum Blockchain. Each one is thoughtfully designed, specifically picked, and impeccably shaped. Join us on our adventure and have a good time. Having a Doge Token grants you creative and commercial rights, as well as inclusion in the community.",10,5.1,18.3,3.05,2021,1.3337,85.8,1,0,0
Autoglyphs,40,collectibles,Autoglyphs are the first “on-chain” generative art on the Ethereum blockchain. A completely self-contained mechanism for the creation and ownership of an artwork.,0.512,0.146,17.5,385,2019,37.4072,89.9,1,0,0
Sneaky Vampire Syndicate,41,collectibles,"The Sneaky Vampire Syndicate consists of 8,888 Vampires, each having their own individual traits. No one vampire count is alike. Things have changed since the olden days, The Vampires have caught up with the times and now reside in The Lair. The Lair is where all vampires call home - existing in the MetaVerse away from the harmful sunlight and pesky Vampire Hunters alike! All Vampire holders gain access to join their kin in the MetaVerse, while having access to their very own exclusive video game. 8,888 Vampires are now running wild, with their companions and much more coming soon.",8.9,4.9,16.9,1.587,2021,1.5593,39.9,1,0,0
CyberKongz VX,42,collectibles,CyberKongz VX are unique and randomly generated 3D NFT Social Avatars for the Metaverse and upcoming interoperability with The Sandbox. Some appear normal. Some look weird. Some are just damn cool! Maybe some even look familiar! KONGZ TOGETHER STRONG!,13.8,3.4,16,1.37,2021,8.0672,54,1,0,0
MakersPlace,43,art,"On MakersPlace, users can create, discover, sell, and collect truly unique and authentic digital art. The team is passionate about the way blockchain technology is transforming our understanding of digital ownership and champions creativity in the growing crypto art community. Trade all MakersPlace NFTs right here on OpenSea.",75.7,13,15.7,0.033,2018,0.8838,80.1,0,1,1
SupDucks,44,collectibles,"Unlock your bungalow!  The SupDucks collection is painstakingly handcrafted from locally sourced, divinely inspired items that were carefully harvested from a free range, organic plot of ether. Each Duck will enrich your life but most importantly, make your friends and colleagues jealous. So snatch them up and proudly claim your seat at the cool kids table.",10,3.1,15,2.3,2021,1.0834,37.3,1,0,0
Lazy Lions,45,collectibles,Lazy Lions is the NFT community for 👑's Why do they give us so many words for this description? We’re lazy.,10.1,4.6,14.7,1.35,2021,0.8193,44.6,1,0,0
FLUF World,46,collectibles,"FLUF World is home to 10,000 unique 3D animated rabbits living as NFTs on the blockchain. There’s only one thing FLUFs love more than carrots, and that’s dope beats! So no FLUF would be complete without a dance and soundtrack. FLUFs have been programmatically generated from 270 attributes across 14 categories to be entirely unique by at least three degrees of separation. This also excludes their expression, dance, scene, and soundtrack. Scene and soundtrack will be customisable in the near future. Not only are FLUFs beautifully designed collectible characters, they also serve as your ticket to a world of exclusive content. From music and events, to metaverse avatars, we have bundles of awesome features in the pipeline which we can’t wait to share with you.",10,3.4,13.9,1,2021,1.087,16.5,1,0,0
Damien Hirst - The Currency,47,art,"HENI is delighted to present The Currency, the first NFT collection by Damien Hirst. Reimagining the way NFTs are used, The Currency is a collection of 10,000 NFTs which correspond to 10,000 unique physical artworks which are stored in a secure vault in the UK. The works are now brought to life through their launch on the blockchain. Starting with the creation of the physical artworks in 2016, The Currency explores the boundaries of art and currency—when art changes and becomes a currency, and when currency becomes art. Successful applicants will all initially receive NFTs. Ultimately, you have to decide between the digital NFT or the physical artwork, both of which are artworks in their own right. Whichever you pick, the other gets burned. The collection is on the Palm blockchain, which is a new token-powered ecosystem for NFTs connected to Ethereum. It is 99% more energy efficient than proof of work systems such as Ethereum or Bitcoin. The Currency NFTs can be moved to Ethereum.",1.9,1.5,13.7,8.18,2021,9.2647,58.8,0,0,0
Gutter Cat Gang,48,collectibles,"The year is 2050. Humans are an interplanetary species and have all but abandoned the post-apocalyptic shatters of society on earth. Cats have taken over. One crime-ridden, nondescript inner city is inhabited by a group of cats collectively known as the Gutter Cats.",3,1.7,13.5,3.88,2021,1.6144,45,1,0,0
Galaxy-Eggs,49,collectibles,"(art)ificial is an art studio that explores the boundaries of technology and art. Our first project is Galaxy Eggs - a generative collection of 9,999 Eggs of the metaverse that live on the Ethereum Blockchain. Our Art Director, Gal Barkan, has been creating futuristic and sci-fi art for the past 20 years - this collection is the culmination of a lifetime of work on one hand, and the beginning of a new chapter in taking part in the creation of the metaverse.",10,5.2,13,0.55,2021,0.9077,44.2,1,0,0
GalacticApes,50,collectibles,Where it all started: Genesis,10,3.5,12.6,1.599,2021,1.0414,18.1,1,0,0
Official Wrapped MoonCats (Acclimated),51,collectibles,"After a whirlwind adventure four years in the making, 25440 MoonCats have been rescued and are acclimating to their life on the blockchain.",18.1,4.9,12.5,0.93,2021,1.1601,13.2,1,0,0
888 inner circle,52,utility,"8888 Editions of the Genesis NFT from 888 to celebrate the milestone of 88.8K followers on Twitter. Holding this token will give the owner Airdrops, early access to all 888 drops, early access to curated drops and various other benefits",0.001,4,12.4,1.83,2021,1.2741,142.7,0,0,0
Koala Intelligence Agency,53,collectibles,"Recruit a koala. Save the world. A collection of 10,000 worldly Koalas each with their unique skillsets. Their mission is to protect the world from evil. A Koala Agent NFT grants access to an exclusive member's only club, the Koala HQ. Membership has a growing list of perks such as access to an exclusive koala-only network, IRL geocaching, challenges, and more!",10,4.9,12.1,0.26,2021,0.7847,29,1,0,0
The Sevens (Official),54,collectibles,"The Sevens is a collection of 7000 algorithmically generated pieces of art with references from pop culture, anime, games, memes and movies.",7,4.1,11.6,0.294,2021,1.268,58.1,1,0,0
Tom Sachs Rocket Factory,55,collectibles,Welcome to the home of Tom Sachs Rocket Factory on OpenSea. Discover the best items in this collection.,2.1,0.522,10.7,2.37,2021,3.9877,12.9,1,0,0
Adam Bomb Squad,56,collectibles,The Hundreds Official Adam Bomb Squad NFT Collectibles,25,7.6,10.6,0.145,2021,0.4854,19.9,0,0,0
Anonymice,57,collectibles,"Fully on-chain, generative NFT. No website. No IPFS. No API. No royalties. Just code. 10,000 Anonymice have been minted. 6,450 have been burned, only 3550 remain.",10,0.109,9.9,8,2021,2.4572,7.6,1,0,0
The n project,58,utility,Randomized generated numbers stored on chain. Feel free to use n in any way you want.,8.9,2.9,9.6,0.329,2021,0.8974,11.4,1,0,0
TIMEPieces Build a Better Future: Genesis Drop,59,art,"TIMEPieces is a new web3 NFT community from TIME. This collection is the Genesis Drop for the TIMEPiece community.
",4.7,2.5,9.3,0.475,2021,2.1439,3.1,0,1,0
The CryptoDads,60,collectibles,"CryptoDads is 10,000 randomly generated & unique art pieces carefully chosen by some of the greatest dads themselves. Each dad found themselves in the midst of a midlife crisis and fell into the dark abyss of shit coins and expensive jpegs of rocks. Some made it out with diamonds, and others never recovered. Join us on our journey & experience a thrill that you haven't had since a midnight launch party at Gamestop. Having a CryptoDad grants you 100% creative and commercial rights. You earned it champ.",10,8,9.3,1.32,2021,0.7861,40.7,1,0,0
ENS: Ethereum Name Service,61,utility,"Ethereum Name Service (ENS) domains are secure domain names for the decentralized world. ENS domains provide a way for users to map human readable names to blockchain and non-blockchain resources, like Ethereum addresses, IPFS hashes, or website URLs. ENS domains can be bought and sold on secondary markets.",278.2,101.6,9.3,0.02,2019,0.7212,37.3,0,0,0
Animetas,62,collectibles,"Animetas is a generative collection of 10101 unique 1/1 NFTs that live on the Ethereum Blockchain. The collection was designed by Gustavo Viselner and generated by cyberh49. Besides being residents of the Animetaverse, and members of the best community in the NFT space, Animetas owners can participate in unprecedented exclusive community events and challenges. Animetas owners will be granted access to our future Animetas-themed arcade world.",10.1,4,9.1,0.399,2021,0.5897,26.1,1,0,0
Wrapped Cryptopunks,63,collectibles,"Wrapped Punks are ERC721 Tokens, each one backed 1:1 by an original Cryptopunk by Larvalabs. Buy an original Cryptopunk at https://larvalabs.com/cryptopunks Turn your Original Cryptopunk into an ERC721 at https://wrappedpunks.com/ CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard.",0.255,0.044,9.1,200,2020,5.6803,88.9,0,0,1
GEN.ART Membership,64,utility,"As a member of GEN.ART you’ll be able to mint exclusive NFT (ERC-721) artwork by world-renowned artists. We’re limiting membership to 5,100. As a lifetime member, you will not only be part of a special group of collectors and artists but have an active say in the future of GEN.ART through governance tokens (ERC-20) that will be airdropped.",5.1,2.4,8.9,1.2,2021,1.5878,9.2,0,0,0
Bloot (not for Weaks),65,art,It's basically worthless.,8,4.2,8.8,0.088,2021,0.6505,0,1,0,0
Blitmap,66,collectibles,"Blitmap is a community crafted sci-fantasy universe. All data is completely on chain. Blitmap holders get access to unique perks, including expansion packs and more.",1.7,0.584,8.8,16,2021,9.4197,17.5,1,1,0
The Wicked Craniums,67,collectibles,"The Wicked Craniums are the pictorial representation of the 10,762 Craniums that belong to the island of Osseous. OWNER COUNT: Currently, the owners statistic shown by Opensea is inaccurate for this collection. This is because ~1.6k owners have staked their ~4.3k Craniums!",10.8,2.9,8.6,0.299,2021,0.4305,32.8,1,0,0
PEACEFUL GROUPIES,68,collectibles,PEACEFUL GROUPIES is a collection of 10000 unique and crazy characters. These peaceful creatures will follow you on your adventures through this digital psychedelic experience called the PEACEVOID.,10,3.7,8.5,1.15,2021,0.5809,12.2,1,0,0
Rumble Kong League,69,collectibles,"Rumble Kong League is a competitive 3 vs 3 basketball experience, combining play-to-earn functionality with NFT Collection mechanics, enabling users to compete in engaging ways through NFTs. Launching with a set of unique 10,000 ERC-721 tokens, called Kongs. Alongside a truly unique look, each Kong comes with a randomly generated set of attributes that can influence their performance in a match, providing additional depth and strategic elements.",10,2.8,8.4,1.07,2021,0.933,25.1,1,0,0
GEVOLs,70,collectibles,"Each G’EVOL is Randomly generated from over 150 traits. Each one is Unique and could easily steal your girl. G’EVOLs has some traits unlike other Generative collections you may have seen before - Fresh, bold and colourful - A new way of thinking about what a generative collection can be.",8.9,3.4,8.1,0.342,2021,0.8943,23,1,0,0
The Humanoids,71,collectibles,"The Humanoids is a collection of 10,000 unique Humanoids who live on the Ethereum blockchain.",10,5.3,8.1,0.8,2021,0.6157,26.5,1,0,0
Robotos Official,72,collectibles,Robotos is a collection of algorithmically generated droid characters designed by Pablo Stanley.,10,5,8.1,0.89,2021,0.4884,23.1,1,0,0
Bears Deluxe,73,collectibles,"Bears Deluxe has arrived! 6,900 (nice) algorithmically generated bears. All art drawn by hand, 24px format.",6.9,3.3,8,2.2,2021,0.5178,11,1,0,0
The Vogu Collective,74,collectibles,"The Vogu NFT collection marks the beginning of an immersive, multimedia art and storytelling initiative. Our randomized NFT collection contains 7,777 unique robot avatars—these designs have narrative significance within our project’s lore. This lore introduces an expansive fictional universe which will serve as the basis for future stories, characters, and art, all woven across different forms of media. Your robot avatar is your ticket into the greater Vogu Metaverse—giving you exclusive access to stories, assets, and collabs.",7.8,2.8,8,0.35,2021,0.7461,29.6,1,0,0
FVCK_CRYSTAL//,75,collectibles,"FVCK_CRYSTAL// is a collection of 4169 precious stones designed by FVCKRENDER. These NFTs will allow users to participate in future events, raffles, and exclusive areas of the FVCKRENDERVERSE//. No FOMO bullshit curve, hodlers will be able to burn their fvckrender open editions before public sale which will give advantage in time. Each crystals has been computer generated and optimized for future utility. Using the most iconic FVCKRENDER elements frozen in time inside each crystal. They all look sick, however some are more rare than others.",4.2,2,7.4,1.95,2021,2.5354,12.9,1,0,0
Wrapped MoonCatsRescue - Unofficial,76,collectibles,Wrapped MoonCats Rescue is an unofficial ERC721 wrapping of the MoonCats Rescue contract.,2,0.884,7.4,0.97,2021,0.8981,7.5,0,0,0
BASTARD GAN PUNKS V2,77,collectibles,"VERSION 2 OF BASTARD GAN PUNKS ARE COOLER, BETTER AND GOOFIER THAN BOTH BOOMER CRYPTOPUNKS & VERSION 1 BASTARD GAN PUNKS. THIS TIME, ALL CRYPTOPUNK ATTRIBUTES ARE EXTRACTED AND A NEW DATASET OF ALL COMBINATIONS OF THEM ARE TRAINED WITH GAN TO GIVE BIRTH TO EVEN MORE BADASS ONES. ALSO EACH ONE HAS A UNIQUE STORY GENERATED FROM MORE THAN 10K PUNK & EMO SONG LYRICS VIA GPT-2 LANGUAGE PROCESSING ALGORITHM. BASTARDS ARE SLOWLY DEGENERATING THE WORLD. ADOPT ONE TO KICK EVERYONE'S ASSES! DISCLAIMER: THIS PROJECT IS NOT AFFILIATED WITH LARVA LABS BANNER DESIGN BY: @zfyrx",11.3,2.9,7.2,0.298,2021,0.6846,7.5,1,0,0
Winter Bears,78,collectibles,"Winter Bears is a collection of 10,000 adorable and unique polar bear NFTs available on the Ethereum blockchain.",10,4.5,7.1,0.42,2021,0.4612,14.6,1,0,0
Wicked Ape Bone Club,79,collectibles,"Long after humans became an interplanetary species and left our solar system, apes roamed planet Earth up until an interstellar comet, Oumuamua, demolished all ape life. Over decades the radioactive potency of this comet revived 10,000 wicked apes that will now spend their lives for eternity on the Ethereum blockchain known as the Wicked Ape Bone Club.",10,4.5,7,0.37,2021,0.3613,46.4,1,0,0
Treeverse,80,virtual worlds,Welcome to the home of Treeverse on OpenSea. Discover the best items in this collection.,10.4,3.8,6.7,2.387,2021,0.8274,40.7,0,0,0
Stoner Cats,81,collectibles,"Stoner Cats is an adult animated short series accessed exclusively by owning a collectible Stoner Cat NFTs. The NFT sales directly fund the mini-pilot and all future content. The show is centered around five house cats who mysteriously become sentient. With their higher consciousness, they realize that their beloved owner needs rescue from a myriad of dangerous situations. With great flower comes great responsibility.",10.4,4.7,6.7,0.4,2021,0.8861,16,1,0,0
Cupcats Official,82,collectibles,Sweet cats in cups.,5,2.2,6.5,0.675,2021,0.8521,10.2,1,0,0
KnownOrigin,83,art,Discover rare digital art and collect NFTs.,34,7.3,6.4,0.02,2018,0.4243,72.3,0,1,0
DeafBeef,84,art,"Generative audiovisual art. Nothing but a C compiler. Pushing the limits of multimedia stored completely on-chain. Series 0 - Synth Poems are short generative music pieces, inspired by the sound of analog synthesizers. They are stored on-chain Each piece is generated at the time of minting from a random hash value, influencing musical elements including tempo, timbre, pitch and time signature. Simple rules lead to surprising variation, giving each piece it's own distinctive personality, while retaining a common theme. Although synth poems are audio focused, a fitting visualization is added as an ode to early computer graphics that used vector displays to visualize analog signals. What you see is a direct representation of the sound signal, as it would appear on an oscilloscope. The code that generates the audiovisual is stored completely on-chain, allowing a user to reconstruct the media without having to trust IPFS or external storage.",0.221,0.1,6.3,86.999,2021,46.4948,26.6,1,0,0
DeadFellaz,85,collectibles,"10,000 undead NFTs on the Ethereum blockchain. With your Deadfella comes utility, community and opportunity. Join the horde.",10,4.7,6.2,0.878,2021,0.4369,30.7,1,0,0
MetaHero Universe: Generative Identities,86,collectibles,"MetaHero Identities are a collection of heroes, villains, and mutants native to the MetaHero Universe. The Core Collection consists of 146 fully-matched MetaHero concept characters, including two special mints, collaboratively designed by project creatives Chris Wahl and Odious. Generative MetaHero Identities (max supply of 9,678) can be minted at any time by redeeming MintPass #1, the signature NFT reservation system developed by Pixel Vault.",5.7,2.9,6.2,3.35,2021,7.1472,44.9,1,0,0
dotdotdots,87,collectibles,"Dotdotdots are strange cultish creatures that live inside solidity. They disguise themselves as decimals in the code and are rarely seen naturally by human eyes. They are often referred to as bugs, but their species is unknown. Dotdotsdots can be minted directly from the contract using the mint function with a price of 0.05 ETH, up to a max of 5 per transaction. There will be 4360 dotdotdots initially for mint, but will increase as the all time high price of Ethereum rises, with a cap of 10,000.",4.4,2.3,6.1,0.3,2021,0.7922,2.3,1,0,0
The Meta Key,88,virtual worlds,"Metakey is an experiment exploring the unlimited use cases blockchain tech can bring to a token, (NFT or FT) All you need is ONE Metakey, (Any edition), and we will integrate a use case in every project we can.",0.004,4.5,6.1,0.34,2021,0.7312,18.6,0,0,0
Vox Collectibles,89,collectibles,"Meet VOX, the adorable collectible series from Gala Labs. Own, play and earn rewards with your unique ERC721 avatar.",8.9,3.2,6.1,0.35,2021,0.5987,85.5,1,0,0
Al Cabones,90,collectibles,"Al Cabones, a network of organized crime groups based in the blockchain. The collection consists of 10,000 wanted skeleton mobsters each carrying their own history of ruthless crime. Following their escape, they chose to enter and hide away in the blockchain where they plan to create even more chaos. It’s about time the Metaverse is supplied with narcotics, right?",10,3.6,6,0.072,2021,0.4086,25.7,1,0,0
1111 by Kevin Abosch,91,art,1111 unique works. Cryptographic alphanumerics sublimate into a lingual arcana and repository of sacred knowledge — The artist’s hexadecimal testimony.,1.1,0.338,5.6,6.969,2021,3.8286,18.6,1,0,0
